GARE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
Gerzat;790611;1;001+604;51ed69f6-6665-11e3-afff-01f464e0362d;709852.737499997;6526481.006999999;3.1269341099614665;45.837904448705316;45.837904448705316, 3.1269341099614665;45.837904448688086, 3.126934109961467;"{""coordinates"": [3.126934109961467, 45.837904448688086], ""type"": ""Point""}"
Xeuilley;040000;1;018+316;51e6e5a4-6665-11e3-afff-01f464e0362d;929098.9708999991;6833843.781100001;6.105738625850285;48.56426079612382;48.56426079612382, 6.105738625850285;48.56426079610025, 6.105738625850288;"{""coordinates"": [6.105738625850288, 48.56426079610025], ""type"": ""Point""}"
Pointe-de-Grave;584000;1;099+522;51dfec82-6665-11e3-afff-01f464e0362d;382703.8256999999;6502496.4672;-1.068234400018714;45.548379505589985;45.548379505589985, -1.068234400018714;45.54837950557194, -1.0682344000187174;"{""coordinates"": [-1.068234400018717, 45.54837950557194], ""type"": ""Point""}"
Bully-Grenay;288000;1;003+000;cef88d88-dfb5-11e3-8eff-01a464e0362d;681165.3299999982;7041898.289999999;2.73507262758029;50.47421001533572;50.47421001533572, 2.73507262758029;50.47421001532134, 2.7350726275802897;"{""coordinates"": [2.73507262758029, 50.47421001532134], ""type"": ""Point""}"
Vaires-Torcy;070908;1;003+628;51ef26de-6665-11e3-afff-01f464e0362d;670709.9655999988;6864048.470400002;2.600661611046128;48.87579239428819;48.87579239428819, 2.600661611046128;48.875792394266234, 2.6006616110461276;"{""coordinates"": [2.600661611046128, 48.875792394266234], ""type"": ""Point""}"
Ambronay-Priay;883000;1;059+538;51e92722-6665-11e3-afff-01f464e0362d;880739.6543999985;6550165.077;5.336844852616771;46.02716413068411;46.02716413068411, 5.336844852616771;46.027164130667444, 5.336844852616773;"{""coordinates"": [5.336844852616773, 46.027164130667444], ""type"": ""Point""}"
Nuisement;006000;2;006+325;51e03640-6665-11e3-afff-01f464e0362d;796285.5178000033;6865548.316500001;4.312980598230725;48.88274741071736;48.88274741071736, 4.312980598230725;48.88274741069543, 4.312980598230726;"{""coordinates"": [4.312980598230726, 48.88274741069543], ""type"": ""Point""}"
St-Césaire;810000;1;030+973;51eed140-6665-11e3-afff-01f464e0362d;806812.186999999;6302478.350200001;4.327432996367326;43.813238651806934;43.813238651806934, 4.327432996367326;43.813238651784204, 4.327432996367328;"{""coordinates"": [4.327432996367328, 43.813238651784204], ""type"": ""Point""}"
Aix-en-Provence-Marchandises;928106;1;001+126;51ec154e-6665-11e3-afff-01f464e0362d;891731.7709000036;6268734.457400002;5.369713231493774;43.49180243751125;43.49180243751125, 5.369713231493774;43.49180243748774, 5.369713231493775;"{""coordinates"": [5.369713231493775, 43.49180243748774], ""type"": ""Point""}"
Colmar;115000;1;097+914;51ec03fa-6665-11e3-afff-01f464e0362d;1018972.7851999998;6752410.317600001;7.262501909237317;47.794584701937836;47.794584701937836, 7.262501909237317;47.79458470192635, 7.262501909237322;"{""coordinates"": [7.262501909237322, 47.79458470192635], ""type"": ""Point""}"
